Traffic Index,Date
9,2/4/2020 1:15
9,2/4/2020 1:10
9,2/4/2020 1:05
9,2/4/2020 1:00
9,2/4/2020 0:55
11,2/4/2020 0:50
13,2/4/2020 0:45
13,2/4/2020 0:40
13,2/4/2020 0:35
15,2/4/2020 0:30
15,2/4/2020 0:25
15,2/4/2020 0:20
15,2/4/2020 0:15
15,2/4/2020 0:10
15,2/4/2020 0:05
15,2/4/2020 0:00
17,2/3/2020 23:55
17,2/3/2020 23:50
18,2/3/2020 23:45
18,2/3/2020 23:40
18,2/3/2020 23:35
20,2/3/2020 23:30
20,2/3/2020 23:25
20,2/3/2020 23:20
20,2/3/2020 23:15
20,2/3/2020 23:10
20,2/3/2020 23:05
20,2/3/2020 23:00
20,2/3/2020 22:55
20,2/3/2020 22:50
22,2/3/2020 22:45
20,2/3/2020 22:40
20,2/3/2020 22:35
22,2/3/2020 22:30
22,2/3/2020 22:25
22,2/3/2020 22:20
22,2/3/2020 22:15
22,2/3/2020 22:10
20,2/3/2020 22:05
20,2/3/2020 22:00
22,2/3/2020 21:55
22,2/3/2020 21:50
24,2/3/2020 21:45
24,2/3/2020 21:40
24,2/3/2020 21:35
24,2/3/2020 21:30
24,2/3/2020 21:25
26,2/3/2020 21:20
26,2/3/2020 21:15
26,2/3/2020 21:10
26,2/3/2020 21:05
26,2/3/2020 21:00
26,2/3/2020 20:55
27,2/3/2020 20:50
27,2/3/2020 20:45
27,2/3/2020 20:40
27,2/3/2020 20:35
29,2/3/2020 20:30
29,2/3/2020 20:25
29,2/3/2020 20:20
31,2/3/2020 20:15
35,2/3/2020 20:10
36,2/3/2020 20:05
38,2/3/2020 20:00
40,2/3/2020 19:55
42,2/3/2020 19:50
44,2/3/2020 19:45
45,2/3/2020 19:40
47,2/3/2020 19:35
49,2/3/2020 19:30
51,2/3/2020 19:25
53,2/3/2020 19:20
53,2/3/2020 19:15
54,2/3/2020 19:10
56,2/3/2020 19:05
56,2/3/2020 19:00
58,2/3/2020 18:55
58,2/3/2020 18:50
58,2/3/2020 18:45
60,2/3/2020 18:40
60,2/3/2020 18:35
58,2/3/2020 18:30
58,2/3/2020 18:25
56,2/3/2020 18:20
56,2/3/2020 18:15
54,2/3/2020 18:10
54,2/3/2020 18:05
54,2/3/2020 18:00
54,2/3/2020 17:55
54,2/3/2020 17:50
54,2/3/2020 17:45
53,2/3/2020 17:40
53,2/3/2020 17:35
53,2/3/2020 17:30
51,2/3/2020 17:25
49,2/3/2020 17:20
45,2/3/2020 17:15
44,2/3/2020 17:10
44,2/3/2020 17:05
42,2/3/2020 17:00
42,2/3/2020 16:55
42,2/3/2020 16:50
42,2/3/2020 16:45
42,2/3/2020 16:40
40,2/3/2020 16:35
40,2/3/2020 16:30
40,2/3/2020 16:25
40,2/3/2020 16:20
40,2/3/2020 16:15
38,2/3/2020 16:10
38,2/3/2020 16:05
36,2/3/2020 16:00
36,2/3/2020 15:55
36,2/3/2020 15:50
36,2/3/2020 15:45
36,2/3/2020 15:40
36,2/3/2020 15:35
36,2/3/2020 15:30
35,2/3/2020 15:25
35,2/3/2020 15:20
33,2/3/2020 15:15
33,2/3/2020 15:10
33,2/3/2020 15:05
33,2/3/2020 15:00
33,2/3/2020 14:55
33,2/3/2020 14:50
33,2/3/2020 14:45
33,2/3/2020 14:40
33,2/3/2020 14:35
33,2/3/2020 14:30
31,2/3/2020 14:25
29,2/3/2020 14:20
29,2/3/2020 14:15
29,2/3/2020 14:10
29,2/3/2020 14:05
27,2/3/2020 14:00
27,2/3/2020 13:55
29,2/3/2020 13:50
29,2/3/2020 13:45
29,2/3/2020 13:40
29,2/3/2020 13:35
29,2/3/2020 13:30
29,2/3/2020 13:25
29,2/3/2020 13:20
29,2/3/2020 13:15
29,2/3/2020 13:10
29,2/3/2020 13:05
31,2/3/2020 13:00
31,2/3/2020 12:55
31,2/3/2020 12:50
31,2/3/2020 12:45
31,2/3/2020 12:40
31,2/3/2020 12:35
31,2/3/2020 12:30
31,2/3/2020 12:25
31,2/3/2020 12:20
31,2/3/2020 12:15
31,2/3/2020 12:10
31,2/3/2020 12:05
33,2/3/2020 12:00
33,2/3/2020 11:55
33,2/3/2020 11:50
31,2/3/2020 11:45
31,2/3/2020 11:40
31,2/3/2020 11:35
31,2/3/2020 11:30
31,2/3/2020 11:25
33,2/3/2020 11:20
33,2/3/2020 11:15
33,2/3/2020 11:10
33,2/3/2020 11:05
33,2/3/2020 11:00
33,2/3/2020 10:55
33,2/3/2020 10:50
35,2/3/2020 10:45
35,2/3/2020 10:40
35,2/3/2020 10:35
35,2/3/2020 10:30
36,2/3/2020 10:25
36,2/3/2020 10:20
38,2/3/2020 10:15
38,2/3/2020 10:10
38,2/3/2020 10:05
40,2/3/2020 10:00
42,2/3/2020 9:55
42,2/3/2020 9:50
42,2/3/2020 9:45
44,2/3/2020 9:40
44,2/3/2020 9:35
45,2/3/2020 9:30
45,2/3/2020 9:25
45,2/3/2020 9:20
47,2/3/2020 9:15
49,2/3/2020 9:10
49,2/3/2020 9:05
51,2/3/2020 9:00
51,2/3/2020 8:55
53,2/3/2020 8:50
53,2/3/2020 8:45
54,2/3/2020 8:40
56,2/3/2020 8:35
56,2/3/2020 8:30
56,2/3/2020 8:25
56,2/3/2020 8:20
54,2/3/2020 8:15
53,2/3/2020 8:10
53,2/3/2020 8:05
51,2/3/2020 8:00
47,2/3/2020 7:55
47,2/3/2020 7:50
45,2/3/2020 7:45
44,2/3/2020 7:40
42,2/3/2020 7:35
40,2/3/2020 7:30
36,2/3/2020 7:25
35,2/3/2020 7:20
31,2/3/2020 7:15
29,2/3/2020 7:10
26,2/3/2020 7:05
24,2/3/2020 7:00
22,2/3/2020 6:55
18,2/3/2020 6:50
17,2/3/2020 6:45
13,2/3/2020 6:40
9,2/3/2020 6:35
9,2/3/2020 6:30
8,2/3/2020 6:25
6,2/3/2020 6:20
6,2/3/2020 6:15
6,2/3/2020 6:10
4,2/3/2020 6:05
4,2/3/2020 6:00
4,2/3/2020 5:55
4,2/3/2020 5:50
6,2/3/2020 5:45
2,2/3/2020 5:40
1,2/3/2020 5:35
1,2/3/2020 5:30
2,2/3/2020 5:25
2,2/3/2020 5:20
2,2/3/2020 5:15
2,2/3/2020 5:10
2,2/3/2020 5:05
4,2/3/2020 5:00
6,2/3/2020 4:55
4,2/3/2020 4:50
1,2/3/2020 4:45
1,2/3/2020 4:40
2,2/3/2020 4:35
4,2/3/2020 4:30
2,2/3/2020 4:25
4,2/3/2020 4:20
6,2/3/2020 4:15
8,2/3/2020 4:10
8,2/3/2020 4:05
6,2/3/2020 4:00
6,2/3/2020 3:55
6,2/3/2020 3:50
6,2/3/2020 3:45
6,2/3/2020 3:40
6,2/3/2020 3:35
4,2/3/2020 3:30
4,2/3/2020 3:25
6,2/3/2020 3:20
6,2/3/2020 3:15
4,2/3/2020 3:10
6,2/3/2020 3:05
8,2/3/2020 3:00
6,2/3/2020 2:55
2,2/3/2020 2:50
2,2/3/2020 2:45
2,2/3/2020 2:40
4,2/3/2020 2:35
4,2/3/2020 2:30
6,2/3/2020 2:25
6,2/3/2020 2:20
4,2/3/2020 2:15
4,2/3/2020 2:10
6,2/3/2020 2:05
6,2/3/2020 2:00
6,2/3/2020 1:55
4,2/3/2020 1:50
4,2/3/2020 1:45
2,2/3/2020 1:40
2,2/3/2020 1:35
2,2/3/2020 1:30
6,2/3/2020 1:25
6,2/3/2020 1:20
4,2/3/2020 1:15
2,2/3/2020 1:10
2,2/3/2020 1:05
2,2/3/2020 1:00
4,2/3/2020 0:55
4,2/3/2020 0:50
4,2/3/2020 0:45
4,2/3/2020 0:40
6,2/3/2020 0:35
8,2/3/2020 0:30
9,2/3/2020 0:25
11,2/3/2020 0:20
11,2/3/2020 0:15
13,2/3/2020 0:10
13,2/3/2020 0:05
13,2/3/2020 0:00
15,2/2/2020 23:55
17,2/2/2020 23:50
17,2/2/2020 23:45
18,2/2/2020 23:40
20,2/2/2020 23:35
20,2/2/2020 23:30
20,2/2/2020 23:25
22,2/2/2020 23:20
22,2/2/2020 23:15
22,2/2/2020 23:10
24,2/2/2020 23:05
26,2/2/2020 23:00
27,2/2/2020 22:55
27,2/2/2020 22:50
27,2/2/2020 22:45
29,2/2/2020 22:40
29,2/2/2020 22:35
29,2/2/2020 22:30
29,2/2/2020 22:25
29,2/2/2020 22:20
29,2/2/2020 22:15
27,2/2/2020 22:10
29,2/2/2020 22:05
29,2/2/2020 22:00
29,2/2/2020 21:55
29,2/2/2020 21:50
31,2/2/2020 21:45
29,2/2/2020 21:40
27,2/2/2020 21:35
27,2/2/2020 21:30
29,2/2/2020 21:25
29,2/2/2020 21:20
29,2/2/2020 21:15
27,2/2/2020 21:10
27,2/2/2020 21:05
27,2/2/2020 21:00
27,2/2/2020 20:55
29,2/2/2020 20:50
29,2/2/2020 20:45
31,2/2/2020 20:40
33,2/2/2020 20:35
35,2/2/2020 20:30
35,2/2/2020 20:25
35,2/2/2020 20:20
36,2/2/2020 20:15
36,2/2/2020 20:10
38,2/2/2020 20:05
38,2/2/2020 20:00
38,2/2/2020 19:55
40,2/2/2020 19:50
42,2/2/2020 19:45
42,2/2/2020 19:40
42,2/2/2020 19:35
42,2/2/2020 19:30
44,2/2/2020 19:25
44,2/2/2020 19:20
45,2/2/2020 19:15
44,2/2/2020 19:10
44,2/2/2020 19:05
44,2/2/2020 19:00
44,2/2/2020 18:55
44,2/2/2020 18:50
45,2/2/2020 18:45
47,2/2/2020 18:40
47,2/2/2020 18:35
45,2/2/2020 18:30
47,2/2/2020 18:25
47,2/2/2020 18:20
47,2/2/2020 18:15
47,2/2/2020 18:10
47,2/2/2020 18:05
47,2/2/2020 18:00
45,2/2/2020 17:55
45,2/2/2020 17:50
45,2/2/2020 17:45
44,2/2/2020 17:40
44,2/2/2020 17:35
44,2/2/2020 17:30
44,2/2/2020 17:25
44,2/2/2020 17:20
44,2/2/2020 17:15
44,2/2/2020 17:10
44,2/2/2020 17:05
45,2/2/2020 17:00
45,2/2/2020 16:55
47,2/2/2020 16:50
47,2/2/2020 16:45
47,2/2/2020 16:40
47,2/2/2020 16:35
49,2/2/2020 16:30
49,2/2/2020 16:25
49,2/2/2020 16:20
49,2/2/2020 16:15
49,2/2/2020 16:10
49,2/2/2020 16:05
49,2/2/2020 16:00
51,2/2/2020 15:55
51,2/2/2020 15:50
51,2/2/2020 15:45
53,2/2/2020 15:40
51,2/2/2020 15:35
51,2/2/2020 15:30
51,2/2/2020 15:25
49,2/2/2020 15:20
49,2/2/2020 15:15
49,2/2/2020 15:10
49,2/2/2020 15:05
49,2/2/2020 15:00
49,2/2/2020 14:55
47,2/2/2020 14:50
47,2/2/2020 14:45
45,2/2/2020 14:40
44,2/2/2020 14:35
44,2/2/2020 14:30
42,2/2/2020 14:25
40,2/2/2020 14:20
38,2/2/2020 14:15
36,2/2/2020 14:10
36,2/2/2020 14:05
36,2/2/2020 14:00
36,2/2/2020 13:55
36,2/2/2020 13:50
36,2/2/2020 13:45
36,2/2/2020 13:40
36,2/2/2020 13:35
35,2/2/2020 13:30
35,2/2/2020 13:25
35,2/2/2020 13:20
33,2/2/2020 13:15
31,2/2/2020 13:10
29,2/2/2020 13:05
27,2/2/2020 13:00
27,2/2/2020 12:55
26,2/2/2020 12:50
26,2/2/2020 12:45
24,2/2/2020 12:40
22,2/2/2020 12:35
22,2/2/2020 12:30
20,2/2/2020 12:25
20,2/2/2020 12:20
18,2/2/2020 12:15
18,2/2/2020 12:10
17,2/2/2020 12:05
17,2/2/2020 12:00
17,2/2/2020 11:55
17,2/2/2020 11:50
15,2/2/2020 11:45
15,2/2/2020 11:40
15,2/2/2020 11:35
15,2/2/2020 11:30
13,2/2/2020 11:25
13,2/2/2020 11:20
13,2/2/2020 11:15
13,2/2/2020 11:10
11,2/2/2020 11:05
13,2/2/2020 11:00
13,2/2/2020 10:55
13,2/2/2020 10:50
11,2/2/2020 10:45
11,2/2/2020 10:40
11,2/2/2020 10:35
11,2/2/2020 10:30
11,2/2/2020 10:25
9,2/2/2020 10:20
9,2/2/2020 10:15
8,2/2/2020 10:10
8,2/2/2020 10:05
9,2/2/2020 10:00
8,2/2/2020 9:55
8,2/2/2020 9:50
8,2/2/2020 9:45
8,2/2/2020 9:40
8,2/2/2020 9:35
8,2/2/2020 9:30
8,2/2/2020 9:25
6,2/2/2020 9:20
6,2/2/2020 9:15
6,2/2/2020 9:10
6,2/2/2020 9:05
6,2/2/2020 9:00
6,2/2/2020 8:55
6,2/2/2020 8:50
6,2/2/2020 8:45
6,2/2/2020 8:40
6,2/2/2020 8:35
6,2/2/2020 8:30
6,2/2/2020 8:25
8,2/2/2020 8:20
8,2/2/2020 8:15
8,2/2/2020 8:10
8,2/2/2020 8:05
8,2/2/2020 8:00
9,2/2/2020 7:55
11,2/2/2020 7:50
11,2/2/2020 7:45
9,2/2/2020 7:40
9,2/2/2020 7:35
9,2/2/2020 7:30
9,2/2/2020 7:25
9,2/2/2020 7:20
8,2/2/2020 7:15
8,2/2/2020 7:10
8,2/2/2020 7:05
8,2/2/2020 7:00
8,2/2/2020 6:55
9,2/2/2020 6:50
9,2/2/2020 6:45
9,2/2/2020 6:40
8,2/2/2020 6:35
8,2/2/2020 6:30
8,2/2/2020 6:25
9,2/2/2020 6:20
8,2/2/2020 6:15
8,2/2/2020 6:10
8,2/2/2020 6:05
8,2/2/2020 6:00
8,2/2/2020 5:55
6,2/2/2020 5:50
6,2/2/2020 5:45
6,2/2/2020 5:40
6,2/2/2020 5:35
6,2/2/2020 5:30
6,2/2/2020 5:25
6,2/2/2020 5:20
6,2/2/2020 5:15
4,2/2/2020 5:10
4,2/2/2020 5:05
2,2/2/2020 5:00
4,2/2/2020 4:55
4,2/2/2020 4:50
4,2/2/2020 4:45
4,2/2/2020 4:40
4,2/2/2020 4:35
4,2/2/2020 4:30
4,2/2/2020 4:25
4,2/2/2020 4:20
4,2/2/2020 4:15
4,2/2/2020 4:10
4,2/2/2020 4:05
4,2/2/2020 4:00
4,2/2/2020 3:55
4,2/2/2020 3:50
2,2/2/2020 3:45
4,2/2/2020 3:40
2,2/2/2020 3:35
2,2/2/2020 3:30
2,2/2/2020 3:25
4,2/2/2020 3:20
2,2/2/2020 3:15
2,2/2/2020 3:10
2,2/2/2020 3:05
4,2/2/2020 3:00
4,2/2/2020 2:55
2,2/2/2020 2:50
2,2/2/2020 2:45
4,2/2/2020 2:40
4,2/2/2020 2:35
2,2/2/2020 2:30
4,2/2/2020 2:25
6,2/2/2020 2:20
6,2/2/2020 2:15
6,2/2/2020 2:10
6,2/2/2020 2:05
6,2/2/2020 2:00
6,2/2/2020 1:55
6,2/2/2020 1:50
8,2/2/2020 1:45
8,2/2/2020 1:40
8,2/2/2020 1:35
9,2/2/2020 1:30
8,2/2/2020 1:25
9,2/2/2020 1:20
11,2/2/2020 1:15
11,2/2/2020 1:10
13,2/2/2020 1:05
15,2/2/2020 1:00
15,2/2/2020 0:55
17,2/2/2020 0:50
18,2/2/2020 0:45
18,2/2/2020 0:40
20,2/2/2020 0:35
20,2/2/2020 0:30
20,2/2/2020 0:25
22,2/2/2020 0:20
22,2/2/2020 0:15
22,2/2/2020 0:10
24,2/2/2020 0:05
24,2/2/2020 0:00
26,2/1/2020 23:55
26,2/1/2020 23:50
26,2/1/2020 23:45
26,2/1/2020 23:40
26,2/1/2020 23:35
27,2/1/2020 23:30
27,2/1/2020 23:25
27,2/1/2020 23:20
26,2/1/2020 23:15
27,2/1/2020 23:10
27,2/1/2020 23:05
27,2/1/2020 23:00
27,2/1/2020 22:55
27,2/1/2020 22:50
27,2/1/2020 22:45
27,2/1/2020 22:40
26,2/1/2020 22:35
26,2/1/2020 22:30
24,2/1/2020 22:25
22,2/1/2020 22:20
20,2/1/2020 22:15
20,2/1/2020 22:10
20,2/1/2020 22:05
22,2/1/2020 22:00
22,2/1/2020 21:55
24,2/1/2020 21:50
24,2/1/2020 21:45
26,2/1/2020 21:40
26,2/1/2020 21:35
27,2/1/2020 21:30
27,2/1/2020 21:25
27,2/1/2020 21:20
27,2/1/2020 21:15
27,2/1/2020 21:10
29,2/1/2020 21:05
31,2/1/2020 21:00
31,2/1/2020 20:55
33,2/1/2020 20:50
33,2/1/2020 20:45
35,2/1/2020 20:40
36,2/1/2020 20:35
38,2/1/2020 20:30
40,2/1/2020 20:25
42,2/1/2020 20:20
42,2/1/2020 20:15
44,2/1/2020 20:10
45,2/1/2020 20:05
47,2/1/2020 20:00
49,2/1/2020 19:55
51,2/1/2020 19:50
53,2/1/2020 19:45
53,2/1/2020 19:40
54,2/1/2020 19:35
54,2/1/2020 19:30
53,2/1/2020 19:25
53,2/1/2020 19:20
53,2/1/2020 19:15
53,2/1/2020 19:10
53,2/1/2020 19:05
53,2/1/2020 19:00
51,2/1/2020 18:55
53,2/1/2020 18:50
53,2/1/2020 18:45
53,2/1/2020 18:40
53,2/1/2020 18:35
53,2/1/2020 18:30
51,2/1/2020 18:25
51,2/1/2020 18:20
51,2/1/2020 18:15
51,2/1/2020 18:10
51,2/1/2020 18:05
51,2/1/2020 18:00
51,2/1/2020 17:55
51,2/1/2020 17:50
51,2/1/2020 17:45
51,2/1/2020 17:40
49,2/1/2020 17:35
49,2/1/2020 17:30
49,2/1/2020 17:25
47,2/1/2020 17:20
47,2/1/2020 17:15
47,2/1/2020 17:10
47,2/1/2020 17:05
49,2/1/2020 17:00
49,2/1/2020 16:55
49,2/1/2020 16:50
49,2/1/2020 16:45
49,2/1/2020 16:40
49,2/1/2020 16:35
49,2/1/2020 16:30
51,2/1/2020 16:25
51,2/1/2020 16:20
51,2/1/2020 16:15
51,2/1/2020 16:10
53,2/1/2020 16:05
53,2/1/2020 16:00
53,2/1/2020 15:55
53,2/1/2020 15:50
53,2/1/2020 15:45
54,2/1/2020 15:40
54,2/1/2020 15:35
54,2/1/2020 15:30
54,2/1/2020 15:25
54,2/1/2020 15:20
56,2/1/2020 15:15
54,2/1/2020 15:10
54,2/1/2020 15:05
56,2/1/2020 15:00
56,2/1/2020 14:55
54,2/1/2020 14:50
56,2/1/2020 14:45
56,2/1/2020 14:40
54,2/1/2020 14:35
54,2/1/2020 14:30
54,2/1/2020 14:25
53,2/1/2020 14:20
53,2/1/2020 14:15
51,2/1/2020 14:10
51,2/1/2020 14:05
51,2/1/2020 14:00
51,2/1/2020 13:55
51,2/1/2020 13:50
51,2/1/2020 13:45
51,2/1/2020 13:40
51,2/1/2020 13:35
51,2/1/2020 13:30
49,2/1/2020 13:25
47,2/1/2020 13:20
47,2/1/2020 13:15
45,2/1/2020 13:10
44,2/1/2020 13:05
44,2/1/2020 13:00
44,2/1/2020 12:55
42,2/1/2020 12:50
42,2/1/2020 12:45
42,2/1/2020 12:40
40,2/1/2020 12:35
38,2/1/2020 12:30
38,2/1/2020 12:25
38,2/1/2020 12:20
36,2/1/2020 12:15
36,2/1/2020 12:10
35,2/1/2020 12:05
35,2/1/2020 12:00
35,2/1/2020 11:55
33,2/1/2020 11:50
33,2/1/2020 11:45
33,2/1/2020 11:40
33,2/1/2020 11:35
33,2/1/2020 11:30
33,2/1/2020 11:25
33,2/1/2020 11:20
31,2/1/2020 11:15
31,2/1/2020 11:10
33,2/1/2020 11:05
31,2/1/2020 11:00
31,2/1/2020 10:55
31,2/1/2020 10:50
31,2/1/2020 10:45
29,2/1/2020 10:40
29,2/1/2020 10:35
29,2/1/2020 10:30
29,2/1/2020 10:25
29,2/1/2020 10:20
27,2/1/2020 10:15
27,2/1/2020 10:10
27,2/1/2020 10:05
27,2/1/2020 10:00
27,2/1/2020 9:55
26,2/1/2020 9:50
26,2/1/2020 9:45
24,2/1/2020 9:40
24,2/1/2020 9:35
24,2/1/2020 9:30
24,2/1/2020 9:25
22,2/1/2020 9:20
22,2/1/2020 9:15
24,2/1/2020 9:10
22,2/1/2020 9:05
22,2/1/2020 9:00
22,2/1/2020 8:55
22,2/1/2020 8:50
20,2/1/2020 8:45
20,2/1/2020 8:40
20,2/1/2020 8:35
20,2/1/2020 8:30
20,2/1/2020 8:25
20,2/1/2020 8:20
20,2/1/2020 8:15
20,2/1/2020 8:10
20,2/1/2020 8:05
20,2/1/2020 8:00
20,2/1/2020 7:55
20,2/1/2020 7:50
20,2/1/2020 7:45
18,2/1/2020 7:40
18,2/1/2020 7:35
17,2/1/2020 7:30
17,2/1/2020 7:25
17,2/1/2020 7:20
15,2/1/2020 7:15
15,2/1/2020 7:10
15,2/1/2020 7:05
17,2/1/2020 7:00
17,2/1/2020 6:55
17,2/1/2020 6:50
17,2/1/2020 6:45
17,2/1/2020 6:40
15,2/1/2020 6:35
15,2/1/2020 6:30
15,2/1/2020 6:25
15,2/1/2020 6:20
15,2/1/2020 6:15
15,2/1/2020 6:10
15,2/1/2020 6:05
15,2/1/2020 6:00
15,2/1/2020 5:55
15,2/1/2020 5:50
17,2/1/2020 5:45
17,2/1/2020 5:40
15,2/1/2020 5:35
15,2/1/2020 5:30
15,2/1/2020 5:25
15,2/1/2020 5:20
15,2/1/2020 5:15
15,2/1/2020 5:10
15,2/1/2020 5:05
15,2/1/2020 5:00
15,2/1/2020 4:55
15,2/1/2020 4:50
17,2/1/2020 4:45
15,2/1/2020 4:40
15,2/1/2020 4:35
13,2/1/2020 4:30
15,2/1/2020 4:25
15,2/1/2020 4:20
15,2/1/2020 4:15
15,2/1/2020 4:10
15,2/1/2020 4:05
13,2/1/2020 4:00
13,2/1/2020 3:55
11,2/1/2020 3:50
11,2/1/2020 3:45
11,2/1/2020 3:40
11,2/1/2020 3:35
11,2/1/2020 3:30
11,2/1/2020 3:25
11,2/1/2020 3:20
11,2/1/2020 3:15
11,2/1/2020 3:10
13,2/1/2020 3:05
13,2/1/2020 3:00
13,2/1/2020 2:55
13,2/1/2020 2:50
13,2/1/2020 2:45
11,2/1/2020 2:40
11,2/1/2020 2:35
11,2/1/2020 2:30
11,2/1/2020 2:25
11,2/1/2020 2:20
11,2/1/2020 2:15
13,2/1/2020 2:05
13,2/1/2020 2:00
11,2/1/2020 1:55
11,2/1/2020 1:50
11,2/1/2020 1:45
9,2/1/2020 1:40
9,2/1/2020 1:35
8,2/1/2020 1:30
8,2/1/2020 1:25
9,2/1/2020 1:20
9,2/1/2020 1:15
9,2/1/2020 1:10
11,2/1/2020 1:05
11,2/1/2020 1:00
11,2/1/2020 0:55
11,2/1/2020 0:50
13,2/1/2020 0:45
13,2/1/2020 0:40
15,2/1/2020 0:35
15,2/1/2020 0:30
15,2/1/2020 0:25
15,2/1/2020 0:20
15,2/1/2020 0:15
17,2/1/2020 0:10
17,2/1/2020 0:05
17,2/1/2020 0:00
18,1/31/2020 23:55
18,1/31/2020 23:50
18,1/31/2020 23:45
20,1/31/2020 23:40
22,1/31/2020 23:35
22,1/31/2020 23:30
22,1/31/2020 23:25
22,1/31/2020 23:20
22,1/31/2020 23:15
22,1/31/2020 23:10
22,1/31/2020 23:05
24,1/31/2020 23:00
24,1/31/2020 22:55
26,1/31/2020 22:50
26,1/31/2020 22:45
27,1/31/2020 22:40
27,1/31/2020 22:35
27,1/31/2020 22:30
29,1/31/2020 22:25
29,1/31/2020 22:20
29,1/31/2020 22:15
27,1/31/2020 22:10
27,1/31/2020 22:05
29,1/31/2020 22:00
29,1/31/2020 21:55
29,1/31/2020 21:50
31,1/31/2020 21:45
31,1/31/2020 21:40
31,1/31/2020 21:35
31,1/31/2020 21:30
33,1/31/2020 21:25
35,1/31/2020 21:20
35,1/31/2020 21:15
35,1/31/2020 21:10
36,1/31/2020 21:05
38,1/31/2020 21:00
40,1/31/2020 20:55
42,1/31/2020 20:50
44,1/31/2020 20:45
44,1/31/2020 20:40
45,1/31/2020 20:35
47,1/31/2020 20:30
49,1/31/2020 20:25
53,1/31/2020 20:20
54,1/31/2020 20:15
56,1/31/2020 20:10
58,1/31/2020 20:05
58,1/31/2020 20:00
62,1/31/2020 19:55
62,1/31/2020 19:50
63,1/31/2020 19:45
65,1/31/2020 19:40
67,1/31/2020 19:35
67,1/31/2020 19:30
69,1/31/2020 19:25
69,1/31/2020 19:20
69,1/31/2020 19:15
69,1/31/2020 19:10
71,1/31/2020 19:05
71,1/31/2020 19:00
71,1/31/2020 18:55
71,1/31/2020 18:50
71,1/31/2020 18:45
71,1/31/2020 18:40
71,1/31/2020 18:35
71,1/31/2020 18:30
69,1/31/2020 18:25
67,1/31/2020 18:20
67,1/31/2020 18:15
65,1/31/2020 18:10
65,1/31/2020 18:05
65,1/31/2020 18:00
63,1/31/2020 17:55
63,1/31/2020 17:50
63,1/31/2020 17:45
62,1/31/2020 17:40
62,1/31/2020 17:35
60,1/31/2020 17:30
60,1/31/2020 17:25
